Name	Sweep	
Date	24 / 3 / 2017	
Time	18:45:28	
Instrument	FSH8 - 106469/028	
Firmware Version	V1.58	
Instrument Mode	Spectrum	
Meas Mode	Spectrum	
Uplink	- - -	
Downlink	- - -	
Channel (uplink)	- - -	
841269.841269841	-61.8045692443848	 
857142.857142857	-61.9104995727539	 
873015.873015873	-61.9345359802246	 
888888.888888889	-62.1290283203125	 
904761.904761905	-62.0294570922852	 
920634.920634921	-62.3269691467285	 
936507.936507936	-62.212345123291	 
952380.952380952	-62.2694892883301	 
968253.968253968	-62.2277412414551	 
984126.984126984	-62.3624153137207	 
1000000	-62.4798965454102	 
1015873.01587302	-62.3583831787109	 
1031746.03174603	-62.4734153747559	 
1047619.04761905	-62.4471778869629	 
1063492.06349206	-62.8692588806152	 
1079365.07936508	-62.8096237182617	 
1095238.0952381	-62.6098289489746	 
1111111.11111111	-63.0443153381348	 
1126984.12698413	-63.181396484375	 
1142857.14285714	-63.4094924926758	 
1158730.15873016	-63.2095756530762	 
1174603.17460317	-63.0887260437012	 
1190476.19047619	-63.0987243652344	 
1206349.20634921	-63.1637001037598	 
1222222.22222222	-63.6133232116699	 
1238095.23809524	-63.5705413818359	 
1253968.25396825	-63.778392791748	 
1269841.26984127	-63.8471641540527	 
1285714.28571429	-63.9172515869141	 
1301587.3015873	-63.9131317138672	 
1317460.31746032	-63.880485534668	 
1333333.33333333	-64.0438995361328	 
1349206.34920635	-64.1896667480469	 
1365079.36507936	-63.8943176269531	 
1380952.38095238	-64.1819076538086	 
1396825.3968254	-64.2831954956055	 
1412698.41269841	-64.3072280883789	 
1428571.42857143	-64.1582489013672	 
1444444.44444444	-64.4592666625977	 
1460317.46031746	-64.4243316650391	 
1476190.47619048	-64.6829986572266	 
1492063.49206349	-64.8033676147461	 
1507936.50793651	-64.5661087036133	 
1523809.52380952	-64.8191299438477	 
1539682.53968254	-64.8629837036133	 
1555555.55555556	-65.1980514526367	 
1571428.57142857	-64.9479751586914	 
1587301.58730159	-64.9768905639648	 
1603174.6031746	-65.1654891967773	 
1619047.61904762	-65.3758392333984	 
1634920.63492064	-64.8811492919922	 
1650793.65079365	-65.2034912109375	 
1666666.66666667	-65.6125640869141	 
1682539.68253968	-65.1759490966797	 
1698412.6984127	-65.2735061645508	 
1714285.71428571	-65.8273391723633	 
1730158.73015873	-65.9342498779297	 
1746031.74603175	-66.065055847168	 
1761904.76190476	-65.8269577026367	 
1777777.77777778	-65.6846694946289	 
1793650.79365079	-65.9677734375	 
1809523.80952381	-65.7794494628906	 
1825396.82539683	-66.1694259643555	 
1841269.84126984	-66.1081085205078	 
1857142.85714286	-66.3186492919922	 
1873015.87301587	-66.1245956420898	 
1888888.88888889	-65.9653701782227	 
1904761.9047619	-66.2530899047852	 
1920634.92063492	-66.0779113769531	 
1936507.93650794	-66.3861999511719	 
1952380.95238095	-66.553955078125	 
1968253.96825397	-66.8598022460938	 
1984126.98412698	-66.7466888427734	 
2000000	-66.7414398193359	 
2015873.01587302	-66.8252792358398	 
2031746.03174603	-66.7107696533203	 
2047619.04761905	-67.0486526489258	 
2063492.06349206	-67.0099334716797	 
2079365.07936508	-66.971321105957	 
2095238.0952381	-67.4262084960938	 
2111111.11111111	-66.9621429443359	 
2126984.12698413	-67.1076431274414	 
2142857.14285714	-67.1797256469727	 
2158730.15873016	-67.1769332885742	 
2174603.17460317	-67.460090637207	 
2190476.19047619	-67.1432876586914	 
2206349.20634921	-67.3164215087891	 
2222222.22222222	-67.2914810180664	 
2238095.23809524	-67.4328155517578	 
2253968.25396825	-67.2308349609375	 
2269841.26984127	-67.692008972168	 
2285714.28571429	-67.3923034667969	 
2301587.3015873	-67.6625900268555	 
2317460.31746032	-67.495475769043	 
2333333.33333333	-67.7490615844727	 
2349206.34920635	-67.8291015625	 
2365079.36507937	-67.739128112793	 
2380952.38095238	-67.7164840698242	 
2396825.3968254	-67.8275680541992	 
2412698.41269841	-67.854248046875	 
2428571.42857143	-67.9799957275391	 
2444444.44444444	-67.8198776245117	 
2460317.46031746	-67.8966522216797	 
2476190.47619048	-68.1017227172852	 
2492063.49206349	-68.3835067749023	 
2507936.50793651	-68.1531219482422	 
2523809.52380952	-68.3482894897461	 
2539682.53968254	-68.5744171142578	 
2555555.55555556	-68.4140853881836	 
2571428.57142857	-68.2668228149414	 
2587301.58730159	-68.2836532592773	 
2603174.6031746	-68.4339599609375	 
2619047.61904762	-68.5335845947266	 
2634920.63492063	-68.5638427734375	 
2650793.65079365	-68.4981460571289	 
2666666.66666667	-68.4494171142578	 
2682539.68253968	-68.6612548828125	 
2698412.6984127	-68.6677398681641	 
2714285.71428571	-68.8208618164063	 
2730158.73015873	-68.6080856323242	 
2746031.74603175	-68.8009872436523	 
2761904.76190476	-68.831298828125	 
2777777.77777778	-69.1053085327148	 
2793650.79365079	-68.8224105834961	 
2809523.80952381	-69.0764770507813	 
2825396.82539683	-69.1119232177734	 
2841269.84126984	-69.0461120605469	 
2857142.85714286	-68.9463195800781	 
2873015.87301587	-69.0866165161133	 
2888888.88888889	-69.1219635009766	 
2904761.9047619	-69.0147552490234	 
2920634.92063492	-68.9315795898438	 
2936507.93650794	-69.253532409668	 
2952380.95238095	-69.4455718994141	 
2968253.96825397	-69.4089126586914	 
2984126.98412698	-69.3011474609375	 
3000000	-69.4965209960938	 
3015873.01587302	-69.3993759155273	 
3031746.03174603	-69.402229309082	 
3047619.04761905	-69.3247680664063	 
3063492.06349206	-69.4931411743164	 
3079365.07936508	-69.446891784668	 
3095238.0952381	-69.3303756713867	 
3111111.11111111	-69.3216247558594	 
3126984.12698413	-69.5858612060547	 
3142857.14285714	-69.451286315918	 
3158730.15873016	-69.5768585205078	 
3174603.17460317	-69.5327606201172	 
3190476.19047619	-69.6194381713867	 
3206349.20634921	-69.6751708984375	 
3222222.22222222	-69.6659088134766	 
3238095.23809524	-69.9204635620117	 
3253968.25396825	-70.0730285644531	 
3269841.26984127	-69.8693695068359	 
3285714.28571429	-69.6183547973633	 
3301587.3015873	-69.6937484741211	 
3317460.31746032	-69.6203155517578	 
3333333.33333333	-69.7351303100586	 
3349206.34920635	-69.5678405761719	 
3365079.36507937	-69.7534942626953	 
3380952.38095238	-69.7737579345703	 
3396825.3968254	-69.9056701660156	 
3412698.41269841	-69.9339904785156	 
3428571.42857143	-70.1194458007813	 
3444444.44444444	-69.9747848510742	 
3460317.46031746	-69.9147109985352	 
3476190.47619048	-69.8943405151367	 
3492063.49206349	-69.7421112060547	 
3507936.50793651	-70.0997619628906	 
3523809.52380952	-70.2428436279297	 
3539682.53968254	-70.1023254394531	 
3555555.55555556	-70.320930480957	 
3571428.57142857	-70.24951171875	 
3587301.58730159	-70.1818161010742	 
3603174.6031746	-70.2580947875977	 
3619047.61904762	-70.298713684082	 
3634920.63492063	-70.3921279907227	 
3650793.65079365	-70.6054840087891	 
3666666.66666667	-70.5738525390625	 
3682539.68253968	-70.336540222168	 
3698412.6984127	-70.5888290405273	 
